TICKERS,BETA
POSI,0.38740288473253964
PRMB,0.16658132721934973
QIWI,0.49530806848230025
RASP,0.6688280242106057
RBCM,0.4125553282086526
RDRB,0.24450076406181873
RENI,0.42414958492435023
RGSS,0.3776573177685635
RKKE,0.25361013706268026
RNFT,0.4203337659718728
ROLO,0.42007561567857804
ROSB,0.25562286681724866
ROSN,0.8154138104301
ROST,0.32475710368733796
RTGZ,0.22294075475107242
RTKM,0.4708821636338695
RTKMP,0.42050105106414226
RTSB,0.3748574523580526
RTSBP,0.29802629839698963
RUAL,0.5881037801360963
RUSI,0.3564333829455962
RZSB,0.25986963984952394
SAGO,0.17253759348573539
SAGOP,0.21978819343949776
SARE,0.4306256513848948
SAREP,0.4007163209311799
SBER,0.930303298694548
SBERP,0.8261187618600885
SELG,0.30234983109044683
SFIN,0.23068885642109233
SFTL,0.4074322671548972
SGZH,0.43937293031156416
SIBN,0.5883520143718077
SLEN,0.3603003778606901
SMLT,0.43833332831803284
SNGS,0.7296403921686672
SNGSP,0.4165763957800179
SPBE,0.4228972047133652
STSB,0.2044886957512162
STSBP,0.32880186032189945
SVAV,0.31791224455135
SVET,0.09991754302543934
TASB,0.41179751539380466
TASBP,0.34120001706809877
TATN,0.8752701382801474
TATNP,0.6775066798823064
TCSG,0.7217604917921915
TGKA,0.5972441393778203
TGKB,0.5470827306804616
TGKBP,0.46525082235819226
TGKN,0.3071208622786394
TNSE,0.15240536361049783
TORS,0.1881263819402458
TORSP,0.25494133268620145
TRMK,0.5804060252098178
TTLK,0.46295085296740696
TUZA,0.3564898032789337
UCSS,0.15892517469043393
UKUZ,0.5071715717816756
UNAC,0.5086226413968331
UNKL,0.35468275181734477
UPRO,0.3744414478152761
URKZ,0.34452490812865344
USBN,0.42874519337326183
UTAR,0.29138650745061434
VEON-RX,0.3366752672401871
VGSB,0.16355801069778003
VGSBP,0.23966236151220457
VJGZ,0.31021668170746064
VJGZP,0.41930380886771834
VKCO,0.5949017803169634
VLHZ,0.2975017942125179
VRSB,0.2858647370649276
VRSBP,0.30659733423654595
VSMO,0.2742274489921896
VSYD,0.18460875170774882
VSYDP,0.1866490306854912
VTBR,0.7023648219830411
WTCM,0.26634712689704976
WTCMP,0.29168926637997167
WUSH,0.8480316344966228
YAKG,0.37846932083051804
YKEN,0.41659948946891223
YKENP,0.41003386167751465
YNDX,0.6455776485108222
YRSB,0.22900158444885022
YRSBP,0.20991107855516233
ZILL,0.47264246780674385
ZVEZ,0.2974076731189331
